FABRICANTE,NF,CODIGO,DESCRIÇÃO,QTD,COLETA,TRANSPORTADORA
MIDEA,405120,43012,Cond. K7 38CCVE36515MM Inverter Connect - Frio R32 220V - Midea,22,30/01/26,SUPERSONIC
MIDEA,405120,43011,Evap. K7 40KVQE36M5 Inverter Connect - Frio R32 220V - Midea,22,30/01/26,SUPERSONIC
MIDEA,405121,43021,Cond. K7 38CCVE36515MC Inverter Connect - Frio R32 220V - Carrier,15,30/01/26,SUPERSONIC
MIDEA,405121,43020,Evap. K7 40KVQE36C5 Inverter Connect  - R32 220V - Carrier,15,30/01/26,SUPERSONIC
MIDEA,405122,43021,Cond. K7 38CCVE36515MC Inverter Connect - Frio R32 220V - Carrier,15,30/01/26,SUPERSONIC
MIDEA,405122,44033,Evap. Teto 42ZQVE36C5 Xpower Inverter Connect - R32 220V - Carrier,15,30/01/26,SUPERSONIC
MIDEA,405123,49079,Cond. 38CQU048535 Built-in Versatile Quente 220V T - Carrier,3,30/01/26,SUPERSONIC
MIDEA,405124,49077,Cond. 38CQU048235 Built-in Versatile Quente 380V T - Carrier,2,30/01/26,SUPERSONIC
MIDEA,405126,40007,Cond. 38EZVQA12M5 Inverter AI Ecomaster (R32) Q/F - Midea,80,30/01/26,SUPERSONIC
MIDEA,405126,40006,Evap. 42EZVQA12M5 Inverter AI Ecomaster (R32) Q/F - Midea,80,30/01/26,SUPERSONIC
MIDEA,20424,43000,40KWFLBM - Grelha K7 - 24/36/60 BTUs - Midea,22,30/01/26,SUPERSONIC
MIDEA,20425,4065,Grelha K7 40KWFLB (22-60) Inverter ,15,30/01/26,SUPERSONIC
MIDEA,405125,4021,Cond. 38TAVCA09M5 AI Airvolution Invertet Frio - Midea,172,30/01/26,SUPERSONIC
MIDEA,405125,4020,Evap. 42EFVCA09M5 AI Airvolution Inverter Frio - Midea,172,30/01/26,SUPERSONIC
DAIKIN,25301,5158,Evap. FTHC18T5VL Full Inverter R-32  18 Quente - Daikin,60,28/01/26,SUPERSONIC LOGISTICA E TRANSPORTES LTDA
DAIKIN,25301,5162,Evap. FTHC24T5VL Full Inverter R-32  24 Quente - Daikin,26,28/01/26,SUPERSONIC LOGISTICA E TRANSPORTES LTDA
DAIKIN,25301,5159,Cond. RHC18T5VL Full Inverter R-32  18 Quente - Daikin,60,28/01/26,SUPERSONIC LOGISTICA E TRANSPORTES LTDA
DAIKIN,25301,5163,Cond. RHC24T5VL Full Inverter R-32  24 Quente - Daikin,26,28/01/26,SUPERSONIC LOGISTICA E TRANSPORTES LTDA
DAIKIN,25302,5162,Evap. FTHC24T5VL Full Inverter R-32  24 Quente - Daikin,48,28/01/26,SUPERSONIC LOGISTICA E TRANSPORTES LTDA
DAIKIN,25302,5163,Cond. RHC24T5VL Full Inverter R-32  24 Quente - Daikin,48,28/01/26,SUPERSONIC LOGISTICA E TRANSPORTES LTDA
DAIKIN,25303,5162,Evap. FTHC24T5VL Full Inverter R-32  24 Quente - Daikin,26,28/01/26,SUPERSONIC LOGISTICA E TRANSPORTES LTDA
DAIKIN,25303,5163,Cond. RHC24T5VL Full Inverter R-32  24 Quente - Daikin,26,28/01/26,SUPERSONIC LOGISTICA E TRANSPORTES LTDA
DAIKIN,25304,5513,Cond. 2MXC18RMVM p/ R32- MULTI - Q/F - Daikin,47,28/01/26,SUPERSONIC LOGISTICA E TRANSPORTES LTDA
DAIKIN,25306,5500,Cond. 3MXS18PMVM - MULTI - Q/F - Daikin,16,28/01/26,SUPERSONIC LOGISTICA E TRANSPORTES LTDA
DAIKIN,25310,5265,Evap. DT FDMQA18A5VL - Mini SkyAir - Daikin,30,28/01/26,SUPERSONIC LOGISTICA E TRANSPORTES LTDA
DAIKIN,25310,5262,Cond. K71v RZAQ18BVL - Mini SkyAir - Daikin ,30,28/01/26,SUPERSONIC LOGISTICA E TRANSPORTES LTDA
DAIKIN,25307,5500,Cond. 3MXS18PMVM - MULTI - Q/F - Daikin,16,28/01/26,SUPERSONIC LOGISTICA E TRANSPORTES LTDA
DAIKIN,25308,5160,Evap. FTKC24T5VL Full Inverter R-32  24 Frio - Daikin,95,28/01/26,SUPERSONIC LOGISTICA E TRANSPORTES LTDA
DAIKIN,25308,5161,Cond. RKC24T5VL Full Inverter R-32  24 Frio - Daikin,95,28/01/26,SUPERSONIC LOGISTICA E TRANSPORTES LTDA
GREE,133645,7185,Evap. GWC18ATD-D6DNA1A/I - G-Top Auto Inverter - Gree,96,22/01/26,BUSSOLA
GREE,133645,7186,Cond. GWC18ATD-D6DNA1A/O - G-Top Auto Inverter - Gree,96,22/01/26,BUSSOLA
GREE,133645,7193,Evap. GWC30ATEXF-S6DNA1A/I - G-Top Auto Inverter - Gree,100,22/01/26,BUSSOLA
GREE,133645,7194,Cond. GWC30ATEXF-S6DNA1A/O - G-Top Auto Inverter - Gree,100,22/01/26,BUSSOLA
GREE,133655,7195,Evap. GWH30ATEXF-S6DNA1A/I - G-Top Auto Inverter - Gree,75,22/01/26,BUSSOLA
GREE,133655,7196,Cond. GWH30ATEXF-S6DNA1A/O - G-Top Auto Inverter - Gree,75,22/01/26,BUSSOLA
GREE,133655,7617,Evap. PT GULD36ZD1/A-S G-Prime Inverter Compact R32 220-240V FRIO Mono - Gree,30,22/01/26,BUSSOLA
GREE,133655,7618,Cond. PT GULD36W1/NhA-S G-Prime Inverter Compact R32 220-240V FRIO Mono - Gree,20,22/01/26,BUSSOLA
GREE,133655,7618,Cond. PT GULD36W1/NhA-S G-Prime Inverter Compact R32 220-240V FRIO Mono - Gree,10,22/01/26,BUSSOLA
GREE,133655,7619,Evap. PT GULD57ZD1/A-S G-Prime Inverter Compact R32 220-240V FRIO Mono - Gree,38,22/01/26,BUSSOLA
GREE,133655,7620,Cond. PT GULD56W1/NhA-S G-Prime Inverter Compact R32 220-240V FRIO Mono - Gree,38,22/01/26,BUSSOLA
GREE,133656,7183,Evap. GWH12ATC-D6DNA1A/I - G-Top Auto Inverter - Gree,13,22/01/26,BUSSOLA
GREE,133656,7184,Cond. GWH12ATC-D6DNA1A/O - G-Top Auto Inverter - Gree,13,22/01/26,BUSSOLA
GREE,133656,7393,Evap. GWC24ACE-D6DNA1B/I G-Diamond Auto Inverter - Gree,4,22/01/26,BUSSOLA
GREE,133656,7394,Cond. GWC24ATE-D6DNA1AD/O G-Diamond Auto Inverter - Gree,4,22/01/26,BUSSOLA
GREE,133656,7391,Evap. GWH18ACD-D6DNA1C/I G-Diamond Auto Inverter - Gree,4,22/01/26,BUSSOLA
GREE,133656,7392,Cond. GWH18ACD-D6DNA1C/O G-Diamond Auto Inverter - Gree,4,22/01/26,BUSSOLA
GREE,133656,7395,Evap. GWH24ACE-D6DNA1B/I G-Diamond Auto Inverter - Gree,3,22/01/26,BUSSOLA
GREE,133656,7396,Cond. GWH24ATE-D6DNA1AD/O G-Diamond Auto Inverter - Gree,3,22/01/26,BUSSOLA
GREE,133656,7619,Evap. PT GULD57ZD1/A-S G-Prime Inverter Compact R32 220-240V FRIO Mono - Gree,89,22/01/26,BUSSOLA
GREE,133656,7620,Cond. PT GULD56W1/NhA-S G-Prime Inverter Compact R32 220-240V FRIO Mono - Gree,89,22/01/26,BUSSOLA
GREE,133716,7381,Evap. GWC09ACA-D6DNA1A/I G-Diamond Auto Inverter - Gree,2,23/01/26,BUSSOLA
GREE,133716,7382,Cond. GWC09ACA-D6DNA1A/O G-Diamond Auto Inverter - Gree,2,23/01/26,BUSSOLA
GREE,133716,7385,Evap. GWC12ACC-D6DNA1A/I G-Diamond Auto Inverter - Gree,3,23/01/26,BUSSOLA
GREE,133716,7386,Cond. GWC12ACC-D6DNA1A/O G-Diamond Auto Inverter - Gree,3,23/01/26,BUSSOLA
GREE,133716,7389,Evap. GWC18ACD-D6DNA1C/I G-Diamond Auto Inverter - Gree,3,23/01/26,BUSSOLA
GREE,133716,7390,Cond. GWC18ACD-D6DNA1C/O G-Diamond Auto Inverter - Gree,3,23/01/26,BUSSOLA
GREE,133716,7719,Evap. K7 GULD56T1/A-S G-Prime Compact R32 220-240V FRIO Mono - Gree,93,23/01/26,BUSSOLA
GREE,133716,7720,Cond. K7 GULD56W1/NhA-S G-Prime Compact R32 220-240V FRIO Mono - Gree,93,23/01/26,BUSSOLA
